index,ingredients,output,changelog
262,"Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, May Contain Barley Flour, Enzymes, Ascorbic Acid), Whole Wheat Flour, Rolled Oats, Leavening ( Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate), Soybean Oil, Sugar, Yellow Cornmeal, Wheat Bran, Oat Bran, Brown Rice Flour, Salt, Buttermilk","unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, may contain barley flour, enzyme, ascorbic acid), whole wheat flour, rolled oat, leavening (sodium acid pyrophosphate, sodium bicarbonate, monocalcium phosphate), soybean oil, sugar, yellow cornmeal, wheat bran, oat bran, brown rice flour, salt, buttermilk","- enzymes → enzyme (singular)
- rolled oats → rolled oat (singular)"
263,"Sugar, Unbleached Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Banana Flakes, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Wheat Germ, Bran, Salt, Natural Vanilla Flavor","sugar, unbleached enriched wheat flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), banana flake, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate), wheat germ, bran, salt, natural vanilla flavor","- banana flakes → banana flake (singular)
- cornstarch → corn starch (95%)"
264,"Mango, Sugar, Red Bell Pepper, Water, Red Wine Vinegar, Raisins, Ginger, Tapioca Starch, Cayenne Pepper, Sea Salt, Locust Bean Gum, Xanthan Gum","mango, sugar, red bell pepper, water, red wine vinegar, raisin, ginger, tapioca starch, cayenne pepper, sea salt, locust bean gum, xanthan gum",- raisins → raisin (singular)
265,"Whole Rolled Wheat, Milled Cane Sugar, Rice Flour, Cornstarch, Vegetable Oil (Canola And/Or Safflower And/Or Sunflower Oil), Brown Rice Syrup, Almonds, Salt, Natural Flavor, Barley Malt Syrup","whole rolled wheat, milled cane sugar, rice flour, corn starch, vegetable oil (canola and/or safflower and/or sunflower oil), brown rice syrup, almond, salt, natural flavor, barley malt syrup","- cornstarch → corn starch (95%)
- almonds → almond (singular)"
266,"Filtered Water, Brown Rice (Partially Milled), Expeller Pressed Vegetable Oil (Canola Oil And/Or Safflower Oil And/Or Sunflower Oil), Tricalcium Phosphate, Natural Vanilla Flavor with Other Natural Flavors, Sea Salt, Vitamin A Palmitate, Ergocalciferol (Vitamin D2), Cyanocobalamin (Vitamin B12)","filtered water, brown rice (partially milled), expeller pressed vegetable oil (canola oil and/or safflower oil and/or sunflower oil), tricalcium phosphate, natural vanilla flavor with other natural flavor, sea salt, vitamin a palmitate, ergocalciferol (vitamin d2), cyanocobalamin (vitamin b12)",- natural vanilla flavor with other natural flavors → natural vanilla flavor with other natural flavor (singular)
267,"Filtered Water, Organic Brown Rice (Partially Milled), Organic Expeller Pressed Vegetable Oil (Canola Oil And/Or Safflower Oil And/Or Sunflower Oil), Tricalcium Phosphate, Sea Salt, Vitamin A Palimtate, Ergocalciferol (Vitamin D2), Cyanocobalamin (Vitamin B12)","filtered water, organic brown rice (partially milled), organic expeller pressed vegetable oil (canola oil and/or safflower oil and/or sunflower oil), tricalcium phosphate, sea salt, vitamin a palmitate, ergocalciferol (vitamin d2), cyanocobalamin (vitamin b12)",- vitamin a palimtate → vitamin a palmitate (95%)
268,"Filtered Water, Brown Rice (Partially Milled), Expeller Pressed Vegetable Oil (Canola Oil And/Or Safflower Oil And/Or Sunflower Oil), Tricalcium Phosphate, Natural Vanilla Flavor with Other Natural Flavors, Sea Salt, Vitamin A Palmitate, Ergocalciferol (Vitamin D2), Cyanocobalamin (Vitamin B12)","filtered water, brown rice (partially milled), expeller pressed vegetable oil (canola oil and/or safflower oil and/or sunflower oil), tricalcium phosphate, natural vanilla flavor with other natural flavor, sea salt, vitamin a palmitate, ergocalciferol (vitamin d2), cyanocobalamin (vitamin b12)",- natural vanilla flavor with other natural flavors → natural vanilla flavor with other natural flavor (singular)
269,"Pork, Water, Vinegar, Kosher Salt, Turbinado Sugar, Molasses, *Celery Powder, Spice Extractives","pork, water, vinegar, kosher salt, turbinado sugar, molasses, celery powder, spice extractive",- spice extractives → spice extractive (singular)
270,"Organic Soybase (Filtered Water, Whole Organic Soybeans), Expeller Pressed Organic Canola Oil, Organic Cane Sugar, Organic Maltodextrin (From Corn), Potassium Phosphate, Soy Lecithin, Natural Falvors, Carrageenan, Sodium Citrate, Organic Tapioca Starch","organic soybase (filtered water, whole organic soybean), expeller pressed organic canola oil, organic cane sugar, organic maltodextrin (from corn), potassium phosphate, soy lecithin, natural flavor, carrageenan, sodium citrate, organic tapioca starch","- whole organic soybeans → whole organic soybean (singular)
- natural falvors → natural falvor (singular)
- natural falvor → natural flavor (93%)"
271,"Wheat Flour, Sugar, Salt, Barley Malt Syrup","wheat flour, sugar, salt, barley malt syrup",
272,"Raspberries, Liquid Sugar (Sugar, Water), Sugar, Lemon Juice Concentrate, Pectin","raspberry, liquid sugar (sugar, water), sugar, lemon juice concentrate, pectin",- raspberries → raspberry (singular)
273,"Milled Roasted Flaxseed, Blueberries, Corn Starch, Maltodextrin, Cane Sugar, Natural Flavors, Sunflower Lecthin","milled roasted flaxseed, blueberry, corn starch, maltodextrin, cane sugar, natural flavor, sunflower lecithin","- blueberries → blueberry (singular)
- natural flavors → natural flavor (singular)
- sunflower lecthin → sunflower lecithin (97%)"
274,"Water, Cream, Parmesan Cheese (Milk, Cheese Cultures, Salt, Microbial Rennet), Romano Cheese (Milk, Cheese Cultures, Salt, Microbial Rennet), Butter, Modified Egg Yolk (Egg Yolks, Salt, Enzymes), Modified Corn Starch, Salt, Natural Cheddar Cheese Flavor, Sugar, Xanthan Gum, Roasted Garlic Puree, Black Pepper, Onion Powder, Lactic Acid, Nutmeg","water, cream, parmesan cheese (milk, cheese culture, salt, microbial rennet), romano cheese (milk, cheese culture, salt, microbial rennet), butter, modified egg yolk (egg yolk, salt, enzyme), modified corn starch, salt, natural cheddar cheese flavor, sugar, xanthan gum, roasted garlic puree, black pepper, onion powder, lactic acid, nutmeg","- cheese cultures → cheese culture (singular)
- cheese cultures → cheese culture (singular)
- egg yolks → egg yolk (singular)
- enzymes → enzyme (singular)"
275,"Potatoes, Canola Oil, Carrots, Green Beans, Bread Crumbs (Wheat Flour, Sugar, Yeast, Salt), Bell Peppers, Onions, Corn, Water, Salt, Sugar, Spices, Ginger, Cellulose Gum, Green Pepper, Citric Acid, Turmeric, Mustard Seeds","potato, canola oil, carrot, green bean, bread crumb (wheat flour, sugar, yeast, salt), bell pepper, onion, corn, water, salt, sugar, spice, ginger, cellulose gum, green pepper, citric acid, turmeric, mustard seed","- potatoes → potato (singular)
- carrots → carrot (singular)
- green beans → green bean (singular)
- bread crumbs → bread crumb (singular)
- bell peppers → bell pepper (singular)
- onions → onion (singular)
- spices → spice (singular)
- mustard seeds → mustard seed (singular)"
276,"Organic Rolled Oats, Organic Dehydrated Cane Juice Solids, Organic Cinnamon, Organic Spices, Sea Salt","organic rolled oat, organic dehydrated cane juice solids, organic cinnamon, organic spice, sea salt","- organic rolled oats → organic rolled oat (singular)
- organic dehydrated cane juice solids → organic dehydrated cane juice solid (singular)
- organic spices → organic spice (singular)"
277,"Filtered Sparkling Water (Sufficient to Reconstitute), Juice Concentrates (Apple, Pomegranate, Red Grape and Black Currant), Natural Flavors","filtered sparkling water (sufficient to reconstitute), juice concentrate (apple, pomegranate, red grape and black currant), natural flavor","- juice concentrates → juice concentrate (singular)
- natural flavors → natural flavor (singular)"
278,"Almonds, Sunflower Oil, Sea Salt, Dried Whole Rosemary","almond, sunflower oil, sea salt, dried whole rosemary",- almonds → almond (singular)
279,"Tapioca Syrup, Sugar, Wheat Flour, Malic Acid, Pineapple Juice, Artificial Flavor, and Artificial Color (Fd&C Red 40)","tapioca syrup, sugar, wheat flour, malic acid, pineapple juice, artificial flavor, and artificial color (fdc red 40)",- fd&c red 40 → fdc red 40 (95%)
280,"Tapioca Syrup, Sugar, Wheat Flour, Malic Acid, Pineapple Juice, Artificial Flavor, and Artificial Color (Fd&C Blue 1)","tapioca syrup, sugar, wheat flour, malic acid, pineapple juice, artificial flavor, and artificial color (fdc blue 1)",- fd&c blue 1 → fdc blue 1 (95%)
281,"Garbanzo Beans (Garbanzo Beans, Water, Salt), Tahini (Ground Sesame Seeds), Water, Canola Oil And/Or Safflower Oil, Garlic, Concentrated Lemon Juice, Salt, Pine Nuts, Phosphoric, Acetic and Malic Acids, Cultured Dextrose (Preserves Freshness), Olive Oil, Spices, Dehydrated Red Bell Pepper, Dehydrated Parsley","garbanzo bean (garbanzo bean, water, salt), tahini (ground sesame seed), water, canola oil and/or safflower oil, garlic, concentrated lemon juice, salt, pine nut, phosphoric, acetic and malic acid, cultured dextrose (preserve freshness), olive oil, spice, dehydrated red bell pepper, dehydrated parsley","- garbanzo beans → garbanzo bean (singular)
- garbanzo beans → garbanzo bean (singular)
- ground sesame seeds → ground sesame seed (singular)
- pine nuts → pine nut (singular)
- acetic and malic acids → acetic and malic acid (singular)
- preserves freshness → preserve freshness (singular)
- spices → spice (singular)"
282,"Sugar, Wheat Flour, Tapioca Syrup, Malic Acid, Pineapple Juice (From Concentrate), Artificial Flavor, and Artificial Color (Yellow 5, Blue 1)","sugar, wheat flour, tapioca syrup, malic acid, pineapple juice (from concentrate), artificial flavor, and artificial color (yellow 5, blue 1)",
283,"Sugar, Wheat Flour Tapioca Syrup, Malic Acid, Pineapple Juice (From Concentrate), Artificial Flavor, and Artificial Color (Red 40, Yellow 5, Blue 1)","sugar, wheat flour tapioca syrup, malic acid, pineapple juice (from concentrate), artificial flavor, and artificial color (red 40, yellow 5, blue 1)",
284,"Whole Wheat Flour, Brown Rice, Milled Cane Sugar, Rice Flour, Whole Rolled Oats, Cherry Puree (Cherries, Sugar, Natural Flavor, Citric Acid, Elderberry Juice Concentrate [For Color], Fruit Juice [For Color]), Vegetable Oil (Canola And/Or Safflower And/Or Sunflower Oil), Freeze Dried Blueberries, Freeze Dried Pomegranate, Salt Honey, Cornstarch, Natural Flavor, Barley Malt Syrup, Annatto (For Color), Purple Carrot Juice (For Color)","whole wheat flour, brown rice, milled cane sugar, rice flour, whole rolled oat, cherry puree (cherry, sugar, natural flavor, citric acid, elderberry juice concentrate (for color), fruit juice (for color)), vegetable oil (canola and/or safflower and/or sunflower oil), freeze dried blueberry, freeze dried pomegranate, salt honey, corn starch, natural flavor, barley malt syrup, annatto (for color), purple carrot juice (for color)","- whole rolled oats → whole rolled oat (singular)
- cherries → cherry (singular)
- freeze dried blueberries → freeze dried blueberry (singular)
- cornstarch → corn starch (95%)"
285,"Chicken Stock, Maltodextrin (Corn), Natural Flavor, Chicken Fat, Sugar, Salt, Yeast Extract, Xanthan Gum","chicken stock, maltodextrin (corn), natural flavor, chicken fat, sugar, salt, yeast extract, xanthan gum",
286,"Olives, Water, Salt, Ferous Gluconate (To Stabilize Color)","olive, water, salt, ferrous gluconate (to stabilize color)","- olives → olive (singular)
- ferous gluconate → ferrous gluconate (97%)"
287,"Wheat Flour, Brown Sugar, Non Hydrogenated Shortening (Palm Fruit Oil), Molasses, Pasteurized Whole Eggs, Minced Candied Ginger (Ginger, Cane Sugar), Ground Ginger, Candied Ginger Pulp(Ginger, Cane Sugar), Baking Soda, Cinnamon, Salt","wheat flour, brown sugar, non hydrogenated shortening (palm fruit oil), molasses, pasteurized whole egg, minced candied ginger (ginger, cane sugar), ground ginger, candied ginger pulp (ginger, cane sugar), baking soda, cinnamon, salt",- pasteurized whole eggs → pasteurized whole egg (singular)
288,"Water, Organic Tomato Paste, Organic Cream, Organic Rice Starch, Organic Cane Sugar, Potassium Chloride, Sea Salt, Organic Cheese Flavor (Organic Cheddar Cheese [Pasteurized Milk, Cultures, Salt, Enzymes], Water, Salt, Sodium Citrate, Xanthan Gum), Organic Garlic Powder, Organic Onion Powder, Sodium Citrate","water, organic tomato paste, organic cream, organic rice starch, organic cane sugar, potassium chloride, sea salt, organic cheese flavor (organic cheddar cheese (pasteurized milk, culture, salt, enzyme), water, salt, sodium citrate, xanthan gum), organic garlic powder, organic onion powder, sodium citrate","- cultures → culture (singular)
- enzymes → enzyme (singular)"
289,"Whole Grain Rolled Oats (With Oat Bran), Sugar, Dehydrated Apples (Treated with Ascorbic Acid, Citric Acid and Calcium Chloride to Preserve Color), Cinnamon, Salt, Calcium Carbonate, Natural Flavors, Citric Acid, Guar Gum, Ferric Orthophosphate, (Source of Iron), Niacinamide, Pyridoxine Hydrochloride, (B6) Riboflavin, Vitamin A Palmitate, Thiamin Mononitrate, Folic Acid","whole grain rolled oat (with oat bran), sugar, dehydrated apple (treated with ascorbic acid, citric acid and calcium chloride to preserve color), cinnamon, salt, calcium carbonate, natural flavor, citric acid, guar gum, ferric orthophosphate (source of iron), niacinamide, pyridoxine hydrochloride (b6), riboflavin, vitamin a palmitate, thiamin mononitrate, folic acid","- whole grain rolled oats → whole grain rolled oat (singular)
- dehydrated apples → dehydrated apple (singular)
- natural flavors → natural flavor (singular)"
290,"Organic Cucumbers, Water, Organic Vinegar, Salt, Dehydrated Organic Garlic, Calcium Chloride, Natural Flavors, Organic Turmeric (Color)","organic cucumber, water, organic vinegar, salt, dehydrated organic garlic, calcium chloride, natural flavor, organic turmeric (color)","- organic cucumbers → organic cucumber (singular)
- natural flavors → natural flavor (singular)"
291,"Great Northern White Beans, Water, Tahini (Pureed Sesame Seeds), Canola Oil, Garlic, Soy Sauce (Water, Wheat, Soybeans, Salt), Lemon Juice Concentrate, Citrus Fiber, Cultured Dextrose (For Freshness), Olive Oil, Sun Dried Tomatoes, Salt, Phosphoric, Acetic and Malic Acids, Parsley, White Pepper, Paprika","great northern white bean, water, tahini (pureed sesame seed), canola oil, garlic, soy sauce (water, wheat, soybean, salt), lemon juice concentrate, citrus fiber, cultured dextrose (for freshness), olive oil, sun dried tomato, salt, phosphoric, acetic and malic acid, parsley, white pepper, paprika","- great northern white beans → great northern white bean (singular)
- pureed sesame seeds → pureed sesame seed (singular)
- soybeans → soybean (singular)
- sun dried tomatoes → sun dried tomato (singular)
- acetic and malic acids → acetic and malic acid (singular)"
292,"Filtered Water, Apple Juice Concentrate, Natural Flavors, Ascorbic Acid (Vitamin C)","filtered water, apple juice concentrate, natural flavor, ascorbic acid (vitamin c)",- natural flavors → natural flavor (singular)
293,"Water, Ground Peanuts, Coconut Creme (Coconut Extract, Water Gum), Organic Soy Sauce (Water, Organic Soybeans, Salt, Organic Wheat, Organic Alcohol), Honey, Ground Cashews, Chili Pepper Puree (Red Chili Peppers [Salt, Citric Acid], Spices, Salt, Water, Sugar, Corn Oil, Yeast Extract, Jalapeno Powder, Flavor), Canola Oil Shallots, Lime Juice Concentrate, Anchovy (Anchovy Extract, Salt, Sugar), Tamarind Concentrate, Paprika, Ginger, Garlic, Citric Acid, Annatto Powder, Xanthan Gum","water, ground peanut, coconut creme (coconut extract, water gum), organic soy sauce (water, organic soybean, salt, organic wheat, organic alcohol), honey, ground cashew, chili pepper puree (red chili pepper (salt, citric acid), spice, salt, water, sugar, corn oil, yeast extract, jalapeno powder, flavor), canola oil shallot, lime juice concentrate, anchovy (anchovy extract, salt, sugar), tamarind concentrate, paprika, ginger, garlic, citric acid, annatto powder, xanthan gum","- ground peanuts → ground peanut (singular)
- organic soybeans → organic soybean (singular)
- ground cashews → ground cashew (singular)
- red chili peppers → red chili pepper (singular)
- spices → spice (singular)
- canola oil shallots → canola oil shallot (singular)"
294,Pineapple,pineapple,
295,Raw Almonds,raw almond,- raw almonds → raw almond (singular)
296,"Ingredients: Water, Isolated Soy Protein, Vital Wheat Gluten, Natural Flavors, Expeller Pressed Canola Oil, Organic Evaporated Cane Juice, Spices, Yeast Extract, Sea Salt, Garlic Powder, Onion Powder, Red Bell Pepper Flakes, Parsley Flakes, Pea Protein, Carrot Fiber, Sunflower Oil","ingredients: water, isolated soy protein, vital wheat gluten, natural flavor, expeller pressed canola oil, organic evaporated cane juice, spice, yeast extract, sea salt, garlic powder, onion powder, red bell pepper flake, parsley flake, pea protein, carrot fiber, sunflower oil","- natural flavors → natural flavor (singular)
- spices → spice (singular)
- red bell pepper flakes → red bell pepper flake (singular)
- red bell pepper flake → red bell pepper flavor (REJECTED) (88%)
- parsley flakes → parsley flake (singular)"
297,"Hearts of Palm, Water, Salt, Citric Acid (Acidity Regulator)","heart of palm, water, salt, citric acid (acidity regulator)",- hearts of palm → heart of palm (singular)
298,"Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sunflower Oil, Sugar, Scotch Oatmeal, Inulin, Rye Flour, Multigrain Flour Blend (Wheat, Rye, Triticale, Barley, Corn, Millet, Soybean, Sunflower Seeds, Rice, Flax, Durum Wheat, Oats), Wheat Germ, Modified Corn Starch, Salt, Invert Syrup, Sodium Bicarbonate, Onion Powder, Malt Flour, Monocalcium Phosphate, Enzymes","enriched flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sunflower oil, sugar, scotch oat meal, inulin, rye flour, multigrain flour blend (wheat, rye, triticale, barley, corn, millet, soybean, sunflower seed, rice, flax, durum wheat, oat), wheat germ, modified corn starch, salt, invert syrup, sodium bicarbonate, onion powder, malt flour, monocalcium phosphate, enzyme","- scotch oatmeal → scotch oat meal (97%)
- sunflower seeds → sunflower seed (singular)
- oats → oat (singular)
- enzymes → enzyme (singular)"
299,"Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Whole Wheat Flour, Sunflower Oil, Sugar, Wheat Germ, Corn Starch, Invert Sugar Syrup, Salt, Malt Extract, Onion Powder, Torula Yeast, Sodium Bicarbonate, Monocalcium Phosphate, Annatto Color and Turmeric Oleoresin (Color)","enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), whole wheat flour, sunflower oil, sugar, wheat germ, corn starch, invert sugar syrup, salt, malt extract, onion powder, torula yeast, sodium bicarbonate, monocalcium phosphate, annatto color and turmeric oleoresin (color)",
300,"Ground White Corn Masa Flour, Water, Trace of Lime","ground white corn masa flour, water, trace of lime",
301,"Diced Tomatoes, Tomato Puree, Fire-Roasted Tomatoes, Roasted Onions, Roasted Green Bell Peppers. Lime Juice, Sugar, Jalapeno Peppers, Onions, Roasted Garlic, White Distilled Vinegar, Cilantro, Cumin, Chipotle Peppers, Black Pepper","diced tomato, tomato puree, fire-roasted tomato, roasted onion, roasted green bell pepper, lime juice, sugar, jalapeno pepper, onion, roasted garlic, white distilled vinegar, cilantro, cumin, chipotle pepper, black pepper","- diced tomatoes → diced tomato (singular)
- fire-roasted tomatoes → fire-roasted tomato (singular)
- roasted onions → roasted onion (singular)
- roasted green bell peppers → roasted green bell pepper (singular)
- jalapeno peppers → jalapeno pepper (singular)
- onions → onion (singular)
- chipotle peppers → chipotle pepper (singular)"
302,"Organic Cucumbers, Organic Cane Sugar, Water, Organic Distilled Vinegar, Salt, Organic Dehydrated Peppers, Calcium Chloride, Xanthan Gum, Organic Natural Spice Flavors, Organic Gum Arabic","organic cucumber, organic cane sugar, water, organic distilled vinegar, salt, organic dehydrated pepper, calcium chloride, xanthan gum, organic natural spice flavor, organic gum arabic","- organic cucumbers → organic cucumber (singular)
- organic dehydrated peppers → organic dehydrated pepper (singular)
- organic natural spice flavors → organic natural spice flavor (singular)"
303,"Organic Whole Grain Brown Rice, Organic Marshmallow (Organic Brown Rice Syrup, Organic Cane Sugar, Organic Guar Gum, Sea Salt), Organic Palm Fruit Oil, Vegetable Glycerin, Organic Rice Bran Extract, Organic Vanilla Flavor","organic whole grain brown rice, organic marshmallow (organic brown rice syrup, organic cane sugar, organic guar gum, sea salt), organic palm fruit oil, vegetable glycerin, organic rice bran extract, organic vanilla flavor",
304,"Wheat Flour, Cane Sugar Non Hydrogenated Shortening (Palm Fruit Oil), Pasteurized Whole Eggs, Baking Soda, Natural Meyer Lemon Oil Natural Butter Flavor, Nonfat Dry Milk, Salt Natural Citrus Flavor","wheat flour, cane sugar non hydrogenated shortening (palm fruit oil), pasteurized whole egg, baking soda, natural meyer lemon oil natural butter flavor, nonfat dry milk, natural citrus flavor","- pasteurized whole eggs → pasteurized whole egg (singular)
- salt natural citrus flavor → natural citrus flavor (89%)"
305,"Cranberries, Apples, Sugar, Cranberry Juice Concentrate, Pectin, Ascorbic Acid (Vitamin C)","cranberry, apple, sugar, cranberry juice concentrate, pectin, ascorbic acid (vitamin c)","- cranberries → cranberry (singular)
- apples → apple (singular)"
306,"Organic Wheat Flour, Water, Organic Evaporated Cane Juice, Sea Salt, Yeast","organic wheat flour, water, organic evaporated cane juice, sea salt, yeast",
307,"Grade A Pasteurized Skim Milk, Cane Sugar, Corn Starch, Natural Vanilla Flavor, Pectin, Locust Bean Gum, Citric Acid and Live and Active Cultures: S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus and L. Casei, Culture After Pasteurization","grade apasteurized skim milk, cane sugar, corn starch, natural vanilla flavor, pectin, locust bean gum, citric acid and live and active cultures: s. thermophilus, l bulgaricus, l acidophilus, bifidus and l. casei, culture after pasteurization","- grade a pasteurized skim milk → pasteurized skim milk (89%)
- l. bulgaricus → l bulgaricus (96%)
- l. acidophilus → l acidophilus (96%)"
308,Himalayan Pink Salt Crystals,himalayan salt crystal,"- himalayan pink salt crystals → himalayan pink salt crystal (singular)
- himalayan pink salt crystal → himalayan salt crystal (90%)"
309,"Black Peppercorns, White Peppercorns, Green Peppercorns, Pink Peppercorns","black peppercorn, white peppercorn, green peppercorn, pink peppercorn","- black peppercorns → black peppercorn (singular)
- white peppercorns → white peppercorn (singular)
- green peppercorns → green peppercorn (singular)
- pink peppercorns → pink peppercorn (singular)"
310,"Sea Salt, Cumin, Cayenne Pepper, Cane Sugar, Paprika, Onion, Garlic, Black Pepper, Red Bell Pepper, Oregano, Chili Pepper, Smoked Paprika","sea salt, cumin, cayenne pepper, cane sugar, paprika, onion, garlic, black pepper, red bell pepper, oregano, chili pepper, smoked paprika",
311,"Cocoa Mass, Sugar, Cocoa Butter, Soy Lecithin, Natural Vanilla Flavor","cocoa mass, sugar, cocoa butter, soy lecithin, natural vanilla flavor",
312,"Whole Wheat Flour, Water, Safflower Oil, Malted Barley Flour (Wheat Flour, Dextrose), Honey, Yeast, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Sea Salt, Cultured Wheat Starch (For Freshness), Citric Acid, Soy Lecithin, Ascorbic Acid (Vitamin C as A Dough Conditioner)","whole wheat flour, water, safflower oil, malted barley flour (wheat flour, dextrose), honey, yeast, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate), sea salt, cultured wheat starch (for freshness), citric acid, soy lecithin, ascorbic acid (vitamin c as a dough conditioner)",
313,"Unbleached Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Safflower Oil, Malted Barley Flour (Wheat Flour, Dextrose), Honey, Yeast, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Sea Salt, Cultured Wheat Starch For Freshness (Citric Acid), Soy Lecithin, Ascorbic Acid (Vitamin C as A Dough Conditioner)","unbleached wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, safflower oil, malted barley flour (wheat flour, dextrose), honey, yeast, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate), sea salt, cultured wheat starch for freshness (citric acid), soy lecithin, ascorbic acid (vitamin c as a dough conditioner)",
314,"Peppermint Leaf, Decaffeinated Green Tea, Orange Peel, Natural Vanilla Flavor and Natural Mint Flavor with Other Natural Flavors, Cinnamon, Milk Thistle, Blackberry Leaves, Roasted Carob, Roasted Chicory, Vanilla Bean, Sugar and Gum Acacia","peppermint leaf, decaffeinated green tea, orange peel, natural vanilla flavor and natural mint flavor with other natural flavor, cinnamon, milk thistle, blackberry leaf, roasted carob, roasted chicory, vanilla bean, sugar and gum acacia","- natural vanilla flavor and natural mint flavor with other natural flavors → natural vanilla flavor and natural mint flavor with other natural flavor (singular)
- blackberry leaves → blackberry leaf (singular)"
315,"Organic Stone Ground Yellow Corn Masa Flour, Expeller Pressed Vegetable Oil (Safflower And/Or Sunflower Oil, Trace of Lime","organic stone ground yellow corn masa flour, expeller pressed vegetable oil (safflower and/or sunflower oil, trace of lime",UNBALANCED PARENTHESES
316,"Coconut, Cane Sugar, Sulfurdioxide (For Freshness)","coconut, cane sugar, sulfur dioxide (for freshness)",- sulfurdioxide → sulfur dioxide (96%)
317,"Israeli Couscous [Semolina (Durum Wheat, Rosemary Extract)], Tri-Colored Orzo Pasta [Enriched Semolina [Durum Wheat, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid, Dried Red Bell Pepper, Dried Spinach)], Split Baby Garbanzo Beans, Red Quinoa","israeli couscous (semolina (durum wheat, rosemary extract)), tri-colored orzo pasta (enriched semolina (durum wheat, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid, dried red bell pepper, dried spinach)), split baby garbanzo bean, red quinoa",- split baby garbanzo beans → split baby garbanzo bean (singular)
318,"Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Expeller Pressed Canola Oil and Extra Virgin Olive Oil, Sea Salt and Dried Rosemary","unbleached enriched flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), expeller pressed canola oil and extra virgin olive oil, sea salt and dried rosemary",
319,"Low Fat Vanilla Yogurt (Grade A Pasteurized Reduced Fat Milk, Vanilla Blend [Naturally Milled Cane Sugar, Water, Corn Starch, Natural Flavor], Inulin(Dietary Fiber], Non Fat Milk, Kosher Gelatin, Live and Active Cultures[S. Thermophilus, L.Bulgaricus, L. Acidophilus, Bifidus and L. Casei]), Toasted Almonds (Dry Roasted Blanched Sliced Almonds)","low fat vanilla yogurt (grade apasteurized reduced fat milk, vanilla blend (naturally milled cane sugar, water, corn starch, natural flavor), inulin (dietary fiber), nonfat milk, kosher gelatin, live active culture (s thermophilus, l bulgaricus, l acidophilus, bifidus and l. casei)), toasted almond (dry roasted blanchedsliced almond)","- grade a pasteurized reduced fat milk → pasteurized reduced fat milk (83%)
- non fat milk → nonfat milk (96%)
- live and active cultures → live and active culture (singular)
- live and active culture → live active culture (90%)
- s. thermophilus → s thermophilus (97%)
- l.bulgaricus → l bulgaricus (92%)
- l. acidophilus → l acidophilus (96%)
- toasted almonds → toasted almond (singular)
- dry roasted blanched sliced almonds → dry roasted blanched sliced almond (singular)
- dry roasted blanched sliced almond → sliced almond (86%)"
320,"Sparkling Filtered Water, White Grape Juice Concentrate, Clementine Juice Concentrate, Natural Flavors","sparkling filtered water, white grape juice concentrate, clementine juice concentrate, natural flavor",- natural flavors → natural flavor (singular)
321,"Pork, Water, Beef, Corn Syrup, Modified Food Starch, Salt, Flavorings, Sodium Lactate, Dextrose, Sodium Phosphate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Red 40","pork, water, beef, corn syrup, modified food starch, salt, flavoring, sodium lactate, dextrose, sodium phosphate, sodium diacetate, sodium erythorbate, sodium nitrite, red 40",- flavorings → flavoring (singular)
